Sample	Sample	Run1	Issues	Requirement	Run2	Issues	Requirements	Run3	Issues	Requirements
x	2510396	mt61	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_61_2 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2510407	mt61	HV1R tín hiệu yếu	chạy lại PCR-bigdye HV1R	20250624_mtDNA_61_2 mẫu	NONE	trả KQ			
x	2510733	mt62	tín hiệu HV3 phức tạp	tạm giữ lại để phân tích tiếp --> tách lại	20250707_mtDNA_62_2510733	none	trả KQ			
x	2510321	mt66	HV1F nhiễu	chạy lại PCR-bigdye HV1F	20250624_mtDNA_66_1 mẫu	NONE	trả KQ			
x	2510884	mt64	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_64_1 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2510527	mt67	HV1F nền cao	chạy lại PCR-bigdye HV1F	20250624_mtDNA_67_1 mẫu	NONE	trả KQ			
x	2511471	mt69	HV1F nền cao	chạy lại PCR-bigdye HV1F	20250624_mtDNA_69_5 mẫu	None	trả KQ			
x	2511472	mt69	HV1F nền cao	chạy lại PCR-bigdye HV1F	20250624_mtDNA_69_5 mẫu	None	trả KQ			
x	2511474	mt69	HV3R, HV1F nền cao	chạy lại PCR-bigdye HV1F, HV3R	20250624_mtDNA_69_5 mẫu	None	trả KQ			
x	2511506	mt69	HV1F nền cao	chạy lại PCR-bigdye HV1F	20250624_mtDNA_69_5 mẫu	None	trả KQ			
x	2511507	mt69	HV1F nền cao	chạy lại PCR-bigdye HV1F	20250624_mtDNA_69_5 mẫu	None	trả KQ			
x	2511728	mt72	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_72_1 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2511814	mt73	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_73_2 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2511849	mt73	HV3 AC repeat	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_73_2 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2512655	mt77	HV3 AC repeat	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_77_1 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2513901	mt78	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_78_6 mẫu	None	trả KQ			
x	2520477	mt78	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_78_6 mẫu	None	trả KQ			
